iter	RMSE
272	0.6403483698
273	0.6401235413
274	0.6398497119
275	0.639516397
276	0.6391385078
277	0.6390122091
278	0.6389071498
279	0.6386143923
280	0.6384806563
281	0.6384416611
282	0.6382359444
283	0.6379613389
284	0.6376479853
285	0.637390235
286	0.6372123184
287	0.6369229888
288	0.6367040237
289	0.6365363504
290	0.6363134037
291	0.6359638983
292	0.6356968386
293	0.6352814258
294	0.6351342402
295	0.6348693003
296	0.6347008289
297	0.6344477238
298	0.6342601854
299	0.6340633256
300	0.6337256664
301	0.6335238552
302	0.6333406297
303	0.6330095405
304	0.6327167916
305	0.6324757649
306	0.6322100329
307	0.6319946871
308	0.6318955593
309	0.6316193276
310	0.6315396794
311	0.6313870379
312	0.631127819
313	0.6308798146
314	0.6306135756
315	0.6303947609
316	0.6300810698
317	0.6298333029
318	0.6295462873
319	0.6294273091
320	0.6290970279
321	0.6289621738
322	0.6287715365
323	0.6286410568
324	0.6285264271
325	0.6282962841
326	0.6281223952
327	0.6279308582
328	0.627708294
329	0.6274899149
330	0.6273199367
331	0.6270993026
332	0.6268441296
333	0.6267018801
334	0.6264757814
335	0.6264725626
336	0.626367206
337	0.6261718263
338	0.6259371293
339	0.6257487893
340	0.625511448
341	0.6252642235
342	0.6248737774
343	0.6245877814
344	0.6243179905
345	0.6242649481
346	0.624048542
347	0.6238145029
348	0.6236186381
349	0.6234885304
350	0.6233421138
351	0.6231169626
352	0.6228902576
353	0.6227419248
354	0.6225909311
355	0.6225850921
356	0.6224209981
357	0.6222249881
358	0.6220764922
359	0.621730909
360	0.6214848588
361	0.6212655723
362	0.6210379988
363	0.620858661
364	0.6206212731
365	0.6205423898
366	0.6203637075
367	0.6202170713
368	0.6199920326
369	0.6197737747
370	0.6196750505
371	0.6194692257
372	0.6193363261
373	0.6193187429
374	0.6191640621
375	0.6189514895
376	0.6187362339
377	0.6185282785
378	0.6183510222
379	0.6181082634
380	0.6179914917
381	0.6177982897
382	0.6175190799
383	0.6172842601
384	0.6171571933
385	0.6169424582
386	0.6167879133
387	0.6165497723
388	0.6165395394
389	0.6163541481
390	0.6163504164
391	0.6163303384
392	0.6160786818
393	0.6159907128
394	0.6157901704
395	0.6156271651
396	0.6154840643
397	0.6153571396
398	0.6151709284
399	0.6150252731
400	0.6148021782
401	0.6147933677
402	0.6147791073
403	0.6147732364
404	0.6145635266
405	0.6143951693
406	0.6142030061
407	0.6141543345
408	0.6140320353
409	0.6139780572
410	0.613969947
411	0.6136954864
412	0.6135067779
413	0.6132852648
414	0.6131838848
415	0.6130004458
416	0.6128103469
417	0.6125597897
418	0.6124557299
419	0.6122429361
420	0.6121164976
421	0.6120031149
422	0.6117876892
423	0.6117807443
424	0.6117774534
425	0.6116262179
426	0.611295874
427	0.6111023541
428	0.6108921365
429	0.6107886303
430	0.6105591324
431	0.6103986658
432	0.6101031819
433	0.610019117
434	0.6098033698
435	0.6096628517
436	0.6093866807
437	0.6091859332
438	0.6089857393
439	0.6087371411
440	0.6085253068
441	0.608348056
442	0.6082172973
443	0.6081852688
444	0.6079357791
445	0.6077556746
446	0.6075126829
447	0.6073785286
448	0.6071784893
449	0.6069656898
450	0.6068003687
451	0.6066996563
452	0.6064741554
453	0.6064702671
454	0.6063442611
455	0.6060654122
456	0.6059440938
457	0.6057843652
458	0.6054359233
459	0.6051821386
460	0.6049498374
461	0.6047576119
462	0.6046583597
463	0.6046381767
464	0.6044409382
465	0.6042386775
466	0.604116485
467	0.6038226768
468	0.6036284434
469	0.6035227357
470	0.6033719075
471	0.6032799307
472	0.6030662847
473	0.6028718552
474	0.6026572888
475	0.6023814318
476	0.6021649126
477	0.6019533804
478	0.6019529004
479	0.6017441467
480	0.6017239572
481	0.6017215974
482	0.6015705391
483	0.6012446259
484	0.60109635
485	0.6009998993
486	0.6008578726
487	0.6008143533
488	0.6008127614
489	0.600611608
490	0.6004381294
491	0.6001969851
492	0.6001234817
493	0.5999146187
494	0.5998952657
495	0.5997653995
496	0.5997121765
497	0.5994871918
498	0.5993726998
499	0.5992060485
500	0.5990054821
501	0.5988466975
502	0.5987235361
503	0.5985207398
504	0.5984388603
505	0.5982498659
506	0.5980926482
507	0.5978989663
508	0.5977232652
509	0.5975282803
510	0.5974917505
511	0.5974309268
512	0.5972092065
513	0.597013142
514	0.5968864784
515	0.5966742985
516	0.5965541391
517	0.5963652977
518	0.5962537204
519	0.5960153565
520	0.5958961118
521	0.5957906167
522	0.5957437924
523	0.595568438
524	0.5954435553
525	0.5953332533
526	0.5953298653
527	0.5951847176
528	0.5950116223
529	0.5949465931
530	0.5948915655
531	0.5947101998
532	0.5946099458
533	0.59448222
534	0.5943083657
535	0.5942581236
536	0.5941528819
537	0.59395338
538	0.5937881966
539	0.5936127969
540	0.593475539
541	0.5932715308
542	0.5930088868
543	0.5927923248
544	0.5926464995
545	0.5924143438
546	0.5922613826
547	0.5921089398
548	0.5919880499
549	0.5917165275
550	0.5916151226
551	0.5914058786
552	0.5912937094
553	0.5912850313
554	0.5911552698
555	0.5911524688
556	0.5909657099
557	0.5909571763
558	0.5909327131
559	0.5906978266
560	0.5905776907
561	0.5904778302
562	0.59037764
563	0.5901717064
564	0.5901692486
565	0.5899294584
566	0.5897015483
567	0.5894846886
568	0.5893391866
569	0.5892372988
570	0.5890926648
571	0.588897533
572	0.5887961825
573	0.5886867672
574	0.5884818347
575	0.5883955009
576	0.5881917121
577	0.5880373195
578	0.5879092852
579	0.5878408706
580	0.5877545412
581	0.5875406595
582	0.5875349693
583	0.5874120119
584	0.5872531005
585	0.5870225055
586	0.5868335462
587	0.5866960994
588	0.5864686115
589	0.5862609971
590	0.5860409587
591	0.585926797
592	0.5858484041
593	0.5856609477
594	0.5855376861
595	0.5854157372
596	0.5851924292
597	0.5849627086
598	0.5848185221
599	0.5846883173
600	0.5844940547
601	0.5843590361
602	0.5841856319
603	0.5839976789
604	0.5839369292
605	0.5838709638
606	0.5837265736
607	0.5835891262
608	0.5833962382
609	0.5831718864
610	0.5830196844
611	0.5829878262
612	0.5828090066
613	0.5824974282
614	0.5821878982
615	0.5820226886
616	0.5818513288
617	0.5816063708
618	0.5814726679
619	0.58128141
620	0.5812653114
621	0.5811370093
622	0.5808963171
623	0.5808407542
624	0.5807337343
625	0.5805250978
626	0.5803933513
627	0.5802448584
628	0.5800227165
629	0.5798515202
630	0.579722114
631	0.5794370185
632	0.5792308577
633	0.5790834588
634	0.5789871969
635	0.5786889016
636	0.5784371989
637	0.5783353066
638	0.5782549916
639	0.5781262233
640	0.5781201455
641	0.5779688034
642	0.5777342894
643	0.5776216168
644	0.5775230581
645	0.5773304432
646	0.5771814337
647	0.5769829366
648	0.57687408
649	0.5767329277
650	0.5765856989
651	0.5764450559
652	0.5763531518
653	0.5761533026
654	0.575981754
655	0.575845154
656	0.5756331745
657	0.5755109049
658	0.5754507723
659	0.5752871909
660	0.5751326116
661	0.5749538366
662	0.5747882974
663	0.5745928702
664	0.5744606907
665	0.5742552638
666	0.5741344647
667	0.5739809058
668	0.5738686499
669	0.5737316407
670	0.5736206645
671	0.5734585323
672	0.5734156066
673	0.5731921933
674	0.5730496057
675	0.5728544541
676	0.5727814525
677	0.5726744463
678	0.5725961284
679	0.5724143282
680	0.5722765317
681	0.5721286744
682	0.571906028
683	0.5716693291
684	0.5715598936
685	0.5713426872
686	0.5712256961
687	0.5711459428
688	0.5709450259
689	0.5707827431
690	0.570532142
691	0.5703968946
692	0.57019355
693	0.5701487401
694	0.5700311233
695	0.569819186
696	0.5697174725
697	0.5695833366
698	0.5694682261
699	0.5692988567
700	0.5691310599
701	0.5690659706
702	0.5689156949
703	0.5688028878
704	0.5687251291
705	0.5687197924
706	0.5686035215
707	0.5683796533
708	0.5681977224
709	0.5679786452
710	0.5679635067
711	0.5677477598
712	0.5676760884
713	0.5675786858
714	0.5674788984
715	0.5674310973
716	0.567303224
717	0.5671162032
718	0.5669487005
719	0.566733002
720	0.5666071335
721	0.5664429453
722	0.5663523793
723	0.5662043586
724	0.5660751032
725	0.5660394552
726	0.5659079309
727	0.5657455653
728	0.5655632793
729	0.5653283155
730	0.5651537527
731	0.5650030265
732	0.564896559
733	0.564793347
734	0.5647413369
735	0.5645958177
736	0.5645864624
737	0.5645817755
738	0.5644427623
739	0.56417191
740	0.5640055255
741	0.5639100629
742	0.5638233421
743	0.5637694028
744	0.5635871299
745	0.5633957445
746	0.5633769103
747	0.563256249
748	0.5631358702
749	0.5631137031
750	0.5629969379
751	0.5628713937
752	0.5626678559
753	0.5625778568
754	0.562359886
755	0.5622272937
756	0.5621144134
757	0.5619375282
758	0.5617456782
759	0.561629546
760	0.5613969328
761	0.5612452172
762	0.5611747874
763	0.5611006632
764	0.5610579277
765	0.5609075978
766	0.5607548533
767	0.5607473208
768	0.560582428
769	0.5605661802
770	0.5604191731
771	0.5603526645
772	0.5603515407
773	0.5603025091
774	0.5601863526
775	0.5601083718
776	0.5599547796
777	0.559882211
778	0.5597833374
779	0.5596464507
780	0.5595380843
781	0.5594603649
782	0.5593378256
783	0.5592280742
784	0.559080045
785	0.558872067
786	0.5588123851
787	0.5585869171
788	0.5585073321
789	0.5583268117
790	0.5581966098
791	0.5578587998
792	0.5578578539
793	0.5577006885
794	0.5575953742
795	0.5574558155
796	0.5572702073
797	0.5572097412
798	0.5570757181
799	0.5569792552
