iter	Passed	Remaining
168	107639	401898
169	108970	403832
170	110324	405813
171	111040	405427
172	111786	405145
173	112389	404342
174	114203	407868
175	115666	410089
176	116779	411037
177	117635	411064
178	117793	408658
179	118585	408462
180	119277	407916
181	120138	407942
182	120884	407571
183	121463	406637
184	122045	405718
185	122693	405021
186	123347	404340
187	123912	403373
188	124401	402165
189	125034	401426
190	125204	399212
191	125302	396792
192	126455	397710
193	128533	401500
194	129400	401473
195	130371	401756
196	131206	401610
197	131807	400747
198	132258	399433
199	132870	398611
200	133392	397524
201	133893	396378
202	134407	395276
203	134984	394367
204	135999	394729
205	139162	401273
206	140695	403054
207	141712	403336
208	142446	402802
209	142975	401693
210	144576	403579
211	145177	402662
212	145754	401680
213	146330	400699
214	147176	400456
215	147759	399497
216	148296	398418
217	149042	397903
218	149892	397658
219	150478	396714
220	151086	395833
221	151508	394468
222	151938	393131
223	152376	391825
224	153050	391128
225	153633	390201
226	154190	389211
227	154850	388485
228	155526	387796
229	156143	386963
230	156715	386022
231	157335	385201
232	158005	384503
233	158542	383483
234	159167	382679
235	159924	382192
236	160674	381686
237	161405	381135
238	162153	380619
239	162819	379912
240	163520	379286
241	164035	378231
242	164586	377263
243	165142	376309
244	165710	375384
245	166273	374452
246	167216	374375
247	168381	374784
248	168976	373919
249	169589	373095
250	170272	372428
251	170938	371722
252	171748	371329
253	172619	371064
254	173185	370141
255	174129	370024
256	176051	371967
257	177251	372364
258	181392	378892
259	182440	378915
260	183428	378804
261	185637	381193
262	188032	383930
263	189269	384273
264	190098	383784
265	190873	383181
266	191834	382951
267	192756	382636
268	193431	381829
269	194417	381634
270	195254	381143
271	196154	380769
272	197310	380889
273	198261	380604
274	199505	380874
275	200161	380016
276	201027	379558
277	201716	378763
278	202376	377913
279	203173	377323
280	206608	381600
281	207705	381530
282	211995	387284
283	220725	401037
284	223789	404391
285	225010	404388
286	226365	404618
287	227336	404153
288	228240	403567
289	229123	402941
290	230018	402334
291	230953	401795
292	232474	402267
293	233167	401302
294	233703	400069
295	234313	398966
296	235586	398989
297	236635	398627
298	237339	397682
299	238492	397487
300	239822	397578
301	240896	397239
302	241794	396607
303	242765	396091
304	244117	396190
305	244928	395407
306	245522	394275
307	246013	392983
308	246587	391826
309	247143	390646
310	247631	389363
311	248148	388129
312	249190	387718
313	250342	387472
314	251167	386717
315	252220	386311
316	252789	385164
317	253408	384097
318	254117	383167
319	254771	382157
320	255251	380889
321	255675	379542
322	256124	378238
323	256637	377034
324	257172	375868
325	257672	374652
326	258143	373400
327	258808	372432
328	259492	371491
329	260210	370603
330	260959	369758
331	261766	368996
332	262495	368124
333	263164	367169
334	263761	366117
335	264286	364967
336	264846	363869
337	265401	362767
338	266301	362138
339	266844	361024
340	267302	359800
341	267735	358546
342	268240	357393
343	268951	356517
344	269672	355655
345	271156	355794
346	272901	356265
347	274721	356821
348	275410	355903
349	275933	354771
350	276442	353626
351	277228	352836
352	277818	351797
353	278377	350724
354	279454	350301
355	280973	350427
356	282020	349958
357	282719	349055
358	283244	347941
359	283858	346938
360	284551	346032
361	285238	345122
362	285836	344106
363	286516	343189
364	287105	342166
365	287587	341018
366	288092	339901
367	288696	338904
368	289326	337939
369	290061	337098
370	291424	336984
371	292629	336680
372	293369	335840
373	294194	335099
374	294870	334186
375	295413	333125
376	296681	332881
377	297414	332034
378	297976	330997
379	300355	331971
380	301243	331288
381	302029	330492
382	303113	330021
383	303703	329011
384	304201	327905
385	304644	326743
386	305119	325618
387	305747	324659
388	306333	323657
389	306780	322512
390	307189	321331
391	307740	320300
392	308330	319314
393	308855	318262
394	309347	317179
395	309884	316144
396	310646	315341
397	311399	314529
398	312012	313576
399	312704	312704
400	313383	311820
401	314330	311202
402	315044	310354
403	315712	309461
404	316414	308601
405	317018	307648
406	317564	306640
407	318146	305670
408	318805	304775
409	319800	304200
410	320705	303538
411	321486	302759
412	322197	301914
413	322812	300979
414	323345	299971
415	323807	298899
416	324410	297959
417	324969	296981
418	325416	295903
419	325882	294846
420	326332	293776
421	326920	292834
422	327406	291801
423	327841	290727
424	328246	289629
425	328753	288623
426	329381	287726
427	329960	286788
428	330538	285850
429	331196	284982
430	332145	284366
431	333020	283684
432	333733	282864
433	334353	281966
434	334879	280990
435	335308	279936
436	335809	278944
437	336330	277971
438	336835	276987
439	337404	276058
440	338168	275289
441	338939	274525
442	339543	273627
443	340056	272657
444	340593	271709
445	341301	270898
446	342341	270350
447	343181	269642
448	343805	268765
449	344496	267941
450	345094	267046
451	346077	266449
452	347045	265838
453	347668	264963
454	348224	264038
455	348687	263044
456	349183	262078
457	349746	261164
458	350347	260279
459	350948	259396
460	351681	258611
461	353273	258455
462	354258	257851
463	356292	258005
464	357256	257378
465	357808	256454
466	358337	255516
467	358853	254571
468	359341	253607
469	359801	252626
470	360360	251716
471	360904	250798
472	361396	249844
473	361987	248961
474	362683	248151
475	363308	247293
476	363971	246463
477	364636	245633
478	365979	245259
479	366537	244358
480	366983	243383
481	367439	242418
482	369114	242255
483	370948	242189
484	371968	241587
485	372615	240743
486	373493	240048
487	374383	239359
488	375176	238609
489	375785	237741
490	377270	237426
491	378390	236878
492	379366	236238
493	380600	235756
494	383621	236372
495	386236	236725
496	387113	236006
497	388041	235318
498	388856	234560
499	389576	233745
500	390083	232804
501	390685	231920
502	391429	231122
503	392051	230252
504	392626	229355
505	393360	228553
506	394124	227768
507	394790	226926
508	395389	226047
509	396045	225202
510	396725	224371
511	397213	223432
512	397681	222484
513	398233	221585
514	398798	220694
515	399261	219748
516	399726	218805
517	400832	218213
518	402031	217670
519	404960	218055
520	407469	218203
521	408574	217593
522	409392	216829
523	410444	216188
524	411086	215330
525	411712	214466
526	412806	213844
527	413572	213052
528	414276	212228
529	415265	211550
530	416122	210804
531	416855	209994
532	417358	209070
533	418339	208386
534	419564	207821
535	420819	207269
536	428076	209653
537	430152	209479
538	431675	209030
539	432790	208380
540	433825	207691
541	434601	206876
542	437375	207008
543	442966	208454
544	444728	208083
545	445557	207274
546	446223	206388
547	447253	205671
548	448355	204985
549	449777	204444
550	450850	203741
551	451788	202977
552	452789	202240
553	453592	201414
554	454158	200484
555	454778	199579
556	455300	198632
557	455840	197694
558	456489	196804
559	457430	196041
560	458981	195537
561	461224	195322
562	462254	194590
563	463202	193822
564	463916	192956
565	464687	192114
566	465246	191185
567	465707	190218
568	466306	189309
569	467341	188576
570	467981	187684
571	468621	186793
572	469233	185891
573	469877	185004
574	470501	184109
575	471170	183233
576	471877	182372
577	472413	181446
578	472936	180516
579	473555	179624
580	474443	178835
581	474946	177900
582	475516	176993
583	476050	176073
584	476596	175159
585	477130	174242
586	478473	173619
587	479911	173029
588	481799	172596
589	483004	171916
590	485059	171535
591	489871	172116
592	492942	172072
593	494562	171515
594	496159	170945
595	497434	170262
596	499517	169852
597	502107	169608
598	504530	169299
599	506847	168949
600	509120	168577
601	511147	168118
602	513159	167649
603	514717	167027
604	516675	166531
605	518491	165985
606	520776	165584
607	522992	165155
608	524736	164572
609	525866	163794
610	528133	163367
611	529042	162516
612	530193	161739
613	531168	160907
614	532055	160049
615	532909	159180
616	533597	158263
617	534134	157301
618	534632	156330
619	535221	155386
620	535817	154446
621	536353	153490
622	536835	152519
623	537466	151593
624	538141	150679
625	538709	149737
626	539218	148779
627	539961	147887
628	540768	147013
629	541832	146208
630	543847	145658
631	544900	144847
632	545810	143997
633	546473	143082
634	546976	142127
635	547567	141196
636	548221	140282
637	548783	139346
638	549514	138453
639	550510	137627
640	551723	136855
641	552638	136007
642	553530	135154
643	554099	134222
644	554607	133277
645	555080	132325
646	555563	131377
647	556020	130424
648	556472	129472
649	557220	128589
650	558032	127721
651	558636	126806
652	559609	125976
653	560735	125179
654	561568	124316
655	563998	123804
656	564905	122955
657	565824	122108
658	569111	121767
659	570960	121112
660	571805	120243
661	573325	119514
662	574060	118621
663	575431	117859
664	576932	117121
665	578858	116467
666	582564	116163
667	586508	115896
668	593491	116214
669	595102	115467
670	596389	114656
671	597237	113759
672	598110	112867
673	598894	111959
674	599543	111026
675	600215	110098
676	600797	109155
677	601441	108223
678	602060	107289
679	602701	106359
680	603397	105439
681	603920	104490
682	605317	103692
683	606170	102800
684	606939	101894
685	607473	100950
686	608052	100014
687	608650	99082
688	609230	98148
689	609750	97206
690	610364	96280
691	610968	95353
692	611450	94408
693	611941	93466
694	612547	92543
695	613225	91631
696	613953	90727
697	614726	89831
698	615734	88968
699	616301	88043
700	616782	87106
701	617447	86196
702	618195	85298
703	618801	84382
704	620574	83623
705	623320	82991
706	626415	82399
707	627161	81495
708	627842	80583
709	629742	79826
710	630574	78932
711	631364	78033
712	632058	77123
713	632752	76213
714	634233	75398
715	635092	74508
716	635953	73618
717	637052	72755
718	637877	71860
719	638641	70960
720	639378	70056
721	641047	69254
722	642776	68456
723	643975	67599
724	646700	66900
725	647695	66018
726	648645	65132
727	649531	64239
728	650092	63314
729	650762	62401
730	651777	61522
731	652628	60626
732	653662	59748
733	654385	58841
734	655050	57929
735	656427	57080
736	660539	56464
737	661719	55591
738	662390	54676
739	663376	53787
740	664653	52921
741	665921	52053
742	666881	51160
743	667711	50257
744	668397	49344
745	669211	48441
746	669881	47528
747	670572	46617
748	671213	45703
749	671962	44797
750	672922	43905
751	674925	43080
752	677663	42297
753	678807	41412
754	679598	40505
755	680286	39593
756	681099	38688
757	681852	37780
758	682483	36866
759	683121	35953
760	683883	35047
761	684452	34132
762	684924	33213
763	685442	32298
764	686904	31427
765	688170	30545
766	689022	29645
767	689756	28739
768	690284	27826
769	690901	26918
770	691560	26012
771	692101	25102
772	692578	24190
773	693150	23284
774	693749	22379
775	694444	21477
776	695310	20581
777	696097	19683
778	697153	18793
779	698031	17898
780	698733	16998
781	699395	16098
782	700192	15202
783	700750	14301
784	701260	13399
785	701728	12498
786	702227	11599
787	702860	10703
788	703445	9807
789	703922	8910
790	704414	8014
791	705020	7121
792	705607	6228
793	706102	5335
794	707023	4446
795	708396	3559
796	709066	2669
797	709921	1779
798	710582	889
799	711269	0
